,product,us_dec_2023_price,us_nov_2024_price,us_dec_2024_price,us_percent_change_from_dec_2023,us_percent_change_from_nov_2024
0,Ground beef,5.566,5.874,5.863,5.3,-0.2
1,Bacon,6.774,6.843,6.915,2.1,1.1
2,Pork Chops,4.256,4.43,4.308,1.2,-2.8
3,Ham,5.497,5.63,5.458,-0.7,-3.1
4,Chicken,1.955,2.076,2.061,5.4,-0.7
5,Apples,,,,,
6,Potatoes,0.961,0.956,0.949,-1.2,-0.7
7,Lettuce,1.53,1.641,1.705,11.4,3.9
8,Lettuce,2.683,3.027,2.967,10.6,-2.0
9,Tomatoes,1.995,2.03,2.067,3.6,1.8
10,Beans,1.592,1.651,1.655,4.0,0.2
